Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119110-57403,WR,Courtland,Courtland Sutton,Sutton,12.87058841,17,6700,TEN@DEN,DEN,TEN,,,,,,WR/FLEX
119110-22015,QB,Russell,Russell Wilson,Wilson,16.68166606,12,6700,NYG@WAS,NYG,WAS,,,,,,QB
119110-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,10.01999969,5,6700,TB@ATL,ATL,TB,,,,,,QB
119110-103342,RB,Kenneth,Kenneth Walker III,Walker III,14.65454518,11,6700,SF@SEA,SEA,SF,,,,,,RB/FLEX
119110-6714,QB,Joe,Joe Flacco,Flacco,14.00500011,8,6600,CIN@CLE,CLE,CIN,,,,,,QB
119110-152316,QB,Drake,Drake Maye,Maye,14.39538457,13,6600,LV@NE,NE,LV,,,,,,QB
119110-103564,WR,Garrett,Garrett Wilson,Wilson,12.55294082,17,6500,PIT@NYJ,NYJ,PIT,,,,,,WR/FLEX
119110-88431,QB,Tyler,Tyler Shough,Shough,,0,6500,ARI@NO,NO,ARI,,,,,,QB
119110-87467,RB,Chuba,Chuba Hubbard,Hubbard,15.47333374,15,6500,CAR@JAC,CAR,JAC,,,,,,RB/FLEX
119110-86793,QB,Jake,Jake Haener,Haener,1.779999971,8,6500,ARI@NO,NO,ARI,,,,,,QB
119110-39793,TE,George,George Kittle,Kittle,13.97333374,15,6500,SF@SEA,SF,SEA,,,,,,TE/FLEX
119110-111557,QB,Spencer,Spencer Rattler,Rattler,10.32571411,7,6500,ARI@NO,NO,ARI,,,,,,QB
119110-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,10.08823529,17,6400,ARI@NO,ARI,NO,,,,,,WR/FLEX
119110-167031,RB,Ashton,Ashton Jeanty,Jeanty,,0,6400,LV@NE,LV,NE,,,,,,RB/FLEX
119110-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,11.05294082,17,6300,NYG@WAS,WAS,NYG,,,,,,RB/FLEX
119110-91750,TE,Trey,Trey McBride,McBride,12.70625019,16,6300,ARI@NO,ARI,NO,,,,,,TE/FLEX
119110-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,9.578571865,14,6300,NYG@WAS,WAS,NYG,,,,,,WR/FLEX
119110-63634,WR,Jakobi,Jakobi Meyers,Meyers,12.23333333,15,6200,LV@NE,LV,NE,,,,,,WR/FLEX
119110-90561,WR,Jerry,Jerry Jeudy,Jeudy,12.05294082,17,6200,CIN@CLE,CLE,CIN,,,,,,WR/FLEX
119110-73273,RB,David,David Montgomery,Montgomery,14.02133382,15,6200,DET@GB,DET,GB,,,,,,RB/FLEX
119110-79970,WR,Cooper,Cooper Kupp,Kupp,11.60714286,14,6100,SF@SEA,SEA,SF,,,,,,WR/FLEX
119110-25079,WR,Stefon,Stefon Diggs,Diggs,12.30249977,8,6100,LV@NE,NE,LV,Q,Knee - acl,,,,WR/FLEX
119110-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,7.379999797,15,6100,CAR@JAC,JAC,CAR,,,,,,RB/FLEX
119110-111631,WR,Jameson,Jameson Williams,Williams,12.85624981,16,6000,DET@GB,DET,GB,,,,,,WR/FLEX
119110-14377,QB,Tyrod,Tyrod Taylor,Taylor,10.02999973,2,6000,PIT@NYJ,NYJ,PIT,Q,Knee,,,,QB
119110-86081,QB,Emory,Emory Jones,Jones,,0,6000,TB@ATL,ATL,TB,IR,Concussion,,,,QB
119110-61593,WR,Jauan,Jauan Jennings,Jennings,11.66666667,15,6000,SF@SEA,SF,SEA,Q,Calf,,,,WR/FLEX
119110-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,HOU@LAR,HOU,LAR,,,,,,QB
119110-160938,QB,Quinn,Quinn Ewers,Ewers,,0,6000,MIA@IND,MIA,IND,,,,,,QB
119110-86200,QB,Sean,Sean Clifford,Clifford,0.319999993,4,6000,DET@GB,GB,DET,,,,,,QB
119110-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.16444482,9,6000,LV@NE,LV,NE,,,,,,QB
119110-152787,QB,Seth,Seth Henigan,Henigan,,0,6000,CAR@JAC,JAC,CAR,,,,,,QB
119110-86243,QB,Will,Will Levis,Levis,10.9950002,12,6000,TEN@DEN,TEN,DEN,IR,Shoulder,,,,QB
119110-93428,QB,Jack,Jack Plummer,Plummer,,0,6000,CAR@JAC,CAR,JAC,,,,,,QB
119110-86278,QB,Desmond,Desmond Ridder,Ridder,4.784000015,5,6000,CIN@CLE,CIN,CLE,,,,,,QB
119110-63759,RB,Tony,Tony Pollard,Pollard,11.82499981,16,6000,TEN@DEN,TEN,DEN,,,,,,RB/FLEX
119110-24849,QB,Jameis,Jameis Winston,Winston,13.83090904,11,6000,NYG@WAS,NYG,WAS,,,,,,QB
119110-103698,QB,Dillon,Dillon Gabriel,Gabriel,,0,6000,CIN@CLE,CLE,CIN,,,,,,QB
